Genre,Artists returned,Artists written
a_cappella,84,67
abstract,157,70
abstract_beats,144,38
abstract_hip_hop,223,206
abstract_idm,150,36
abstractro,80,36
accordion,85,47
acid_house,183,158
acid_jazz,210,205
acid_techno,129,66
acousmatic,196,165
acoustic_blues,248,243
acoustic_pop,266,256
adult_standards,237,237
african_percussion,37,15
african_rock,182,114
afrikaans,204,76
afrobeat,129,72
afrobeats,34,22
aggrotech,253,185
albanian_pop,28,17
album_rock,356,355
albuquerque_indie,17,8
alternative_americana,74,51
alternative_country,268,267
alternative_dance,276,272
alternative_emo,197,180
alternative_hardcore,64,44
alternative_hip_hop,345,341
alternative_metal,314,314
alternative_metalcore,78,38
alternative_new_age,127,90
alternative_pop,176,174
alternative_pop_rock,156,127
alternative_r&b,158,126
alternative_rock,402,401
alternative_roots_rock,101,79
ambeat,157,76
ambient,133,128
ambient_dub_techno,146,23
ambient_fusion,218,132
ambient_idm,225,99
ambient_psychill,166,31
ambient_trance,50,5
anarcho-punk,181,125
andean,73,46
anime,215,136
anime_score,122,52
anti-folk,129,116
antiviral_pop,32,17
appalachian_folk,150,126
arab_folk,95,71
arab_pop,97,71
arabesk,131,54
argentine_indie,149,70
argentine_reggae,112,60
argentine_rock,209,166
armenian_folk,24,12
art_rock,280,278
athens_indie,63,45
atmospheric_black_metal,242,200
atmospheric_post_rock,240,161
atmospheric_post-metal,206,131
aussietronica,59,21
austindie,78,55
australian_alternative_rock,283,264
australian_country,89,58
australian_dance,114,85
australian_hip_hop,167,83
australian_indie,159,124
australian_pop,228,222
austrian_hip_hop,68,23
austropop,148,74
avant-garde,215,182
avant-garde_jazz,240,230
avantgarde_metal,215,205
axe,147,94
azonto,37,23
bachata,140,118
baile_funk,74,23
balearic,213,111
balkan_brass,175,103
banda,99,95
bangla,57,40
barbershop,59,35
barnemusikk,52,11
barnmusik,61,23
baroque,202,162
baroque_ensemble,24,13
basque_rock,117,63
bass_music,209,158
bass_trip,55,21
bassline,84,36
bay_area_hip_hop,76,59
beach_music,85,72
beatdown,110,77
beats_&_rhymes,99,36
bebop,242,230
belgian_indie,80,40
belgian_rock,221,167
belly_dance,104,65
belorush,71,37
bemani,165,40
benga,66,37
bhangra,158,99
big_band,207,197
big_beat,234,230
big_room,198,126
black_death,196,153
black_metal,250,246
black_sludge,212,144
black_thrash,188,158
blackgaze,91,61
blaskapelle,64,15
bluegrass,214,196
blues,230,228
blues-rock,259,255
blues-rock_guitar,77,59
bmore,61,33
bolero,156,151
boogaloo,179,157
boogie-woogie,127,112
bossa_nova,232,213
bossa_nova_jazz,127,76
boston_rock,81,71
bounce,49,38
bouncy_house,159,56
bow_pop,93,83
boy_band,116,112
brass_band,93,76
brass_ensemble,66,34
brazilian_composition,107,90
brazilian_gospel,126,38
brazilian_hip_hop,110,57
brazilian_indie,160,95
brazilian_pop_music,271,257
brazilian_punk,115,80
breakbeat,179,145
breakcore,188,118
breaks,54,7
brega,86,67
breton_folk,155,83
brill_building_pop,228,228
british_alternative_rock,125,101
british_blues,291,285
british_brass_band,59,16
british_dance_band,94,61
british_folk,195,187
british_indie_rock,228,212
british_invasion,222,221
britpop,257,255
broadway,56,45
broken_beat,163,119
brooklyn_indie,26,6
brostep,161,98
brutal_death_metal,266,247
brutal_deathcore,138,95
bubble_trance,208,171
bubblegum_dance,135,119
bubblegum_pop,228,225
bulgarian_rock,61,41
byzantine,11,3
c-pop,123,102
c64,98,31
c86,233,226
cabaret,250,247
cajun,162,100
calypso,120,55
canadian_country,130,129
canadian_hip_hop,83,45
canadian_indie,246,239
canadian_metal,146,136
canadian_pop,98,93
candy_pop,107,105
cantautor,128,96
cante_flamenco,108,43
canterbury_scene,216,209
cantopop,161,114
canzone_napoletana,107,70
capoeira,20,5
carnatic,97,67
catstep,110,43
caucasian_folk,43,9
ccm,274,265
ceilidh,37,7
cello,92,62
celtic,224,215
celtic_christmas,123,110
celtic_punk,164,90
celtic_rock,175,165
central_asian_folk,77,14
chalga,61,35
chamber_pop,335,334
chanson,244,235
chanson_quebecois,149,62
chaotic_black_metal,134,89
chaotic_hardcore,135,105
charred_death,118,87
chicago_blues,243,241
chicago_house,154,131
chicago_indie,50,28
chicago_soul,232,229
chicano_rap,62,51
childrens_christmas,117,82
childrens_music,113,87
chilean_rock,149,111
chill_groove,93,12
chill_lounge,195,69
chill-out,225,223
chill-out_trance,60,6
chillstep,73,26
chillwave,273,244
chinese_indie_rock,73,37
chinese_traditional,45,15
chip_hop,83,24
chiptune,228,74
choral,60,47
choro,172,144
christian_alternative_rock,292,291
christian_christmas,383,342
christian_dance,31,20
christian_hardcore,180,165
christian_hip_hop,148,117
christian_metal,186,169
christian_music,258,250
christian_punk,156,150
christian_rock,269,269
christmas,241,239
christmas_product,8,2
cinematic_dubstep,101,13
clarinet,42,24
classic_afrobeat,170,27
classic_belgian_pop,173,75
classic_chinese_pop,118,80
classic_colombian_pop,60,25
classic_czech_pop,150,82
classic_danish_pop,193,128
classic_dutch_pop,203,25
classic_eurovision,156,72
classic_finnish_pop,212,119
classic_finnish_rock,123,65
classic_french_pop,167,111
classic_funk_rock,258,255
classic_garage_rock,205,186
classic_italian_pop,176,122
classic_norwegian_pop,181,133
classic_peruvian_pop,54,30
classic_polish_pop,191,99
classic_psychedelic_rock,122,96
classic_rock,314,313
classic_russian_pop,5,1
classic_russian_rock,144,94
classic_schlager,168,79
classic_soundtrack,148,103
classic_swedish_pop,225,179
classic_turkish_pop,175,41
classic_venezuelan_pop,75,36
classical,214,188
classical_christmas,368,281
classical_flute,44,24
classical_guitar,108,66
classical_organ,98,54
classical_performance,195,174
classical_period,159,124
classical_piano,176,136
college_a_cappella,62,20
college_marching_band,16,4
colombian_rock,102,61
columbus_ohio_indie,49,31
comedy,211,197
comedy_rock,25,12
comic,234,223
commons,142,40
complextro,104,61
composition_d,202,156
concert_piano,80,41
consort,90,61
contemporary_classical,129,60
contemporary_country,305,305
contemporary_folk,173,156
contemporary_jazz,201,192
contemporary_post-bop,286,282
cool_jazz,246,236
corrosion,221,136
corsican_folk,28,14
country,301,301
country_blues,259,257
country_christmas,408,397
country_dawn,170,154
country_gospel,255,249
country_road,258,257
country_rock,270,270
coupe_decale,38,17
coverchill,146,26
covertrance,40,6
cowboy_western,217,208
cowpunk,201,200
crack_rock_steady,131,77
croatian_pop,131,71
crossover_prog,166,92
crossover_thrash,238,228
crunk,228,225
crust_punk,202,137
cryptic_black_metal,92,41
cuban_rumba,160,140
cubaton,33,8
cumbia,75,48
cumbia_funk,126,3
cumbia_sonidera,52,28
cumbia_villera,86,36
cyber_metal,118,87
czech_folk,147,99
czech_rock,185,144
dallas_indie,48,32
dance_pop,351,351
dance_rock,262,260
dance-punk,264,258
dancehall,275,250
dangdut,57,38
danish_hip_hop,174,67
danish_indie,161,102
danish_jazz,68,43
danish_pop,237,201
danish_pop_rock,103,36
dansband,109,76
danseband,59,28
dansktop,149,61
dark_ambient,198,117
dark_black_metal,194,152
dark_cabaret,114,84
dark_electro-industrial,167,85
dark_hardcore,124,31
dark_jazz,123,102
dark_minimal_techno,51,9
dark_progressive_house,70,8
dark_psytrance,194,36
dark_wave,211,200
darkstep,140,62
death_core,227,213
death_metal,308,305
deathgrind,263,257
deep_acoustic_pop,163,147
deep_adult_standards,155,134
deep_alternative_r&b,67,33
deep_ambient,189,107
deep_baroque,98,52
deep_brazilian_pop,97,46
deep_breakcore,155,22
deep_canadian_indie,179,135
deep_ccm,92,60
deep_cello,72,26
deep_chill,157,9
deep_chill-out,153,8
deep_christian_rock,195,184
deep_classic_garage_rock,140,74
deep_classical_piano,24,4
deep_comedy,81,63
deep_contemporary_country,172,157
deep_dance_pop,102,90
deep_darkpsy,170,18
deep_deep_house,109,17
deep_delta_blues,96,52
deep_disco,156,109
deep_disco_house,171,64
deep_discofox,84,7
deep_downtempo_fusion,104,45
deep_dub_techno,158,37
deep_east_coast_hip_hop,168,119
deep_euro_house,141,59
deep_eurodance,143,33
deep_filthstep,23,4
deep_flow,44,13
deep_folk_metal,117,51
deep_free_jazz,106,79
deep_freestyle,91,70
deep_full_on,105,18
deep_funk,180,137
deep_funk_house,169,61
deep_g_funk,97,73
deep_german_indie,136,69
deep_german_punk,85,39
deep_gothic_post-punk,111,87
deep_happy_hardcore,44,3
deep_hardcore,199,53
deep_hardcore_punk,189,111
deep_hardstyle,122,21
deep_house,204,180
deep_indian_pop,107,81
deep_indie_pop,107,75
deep_indie_rock,155,114
deep_indie_singer-songwriter,93,42
deep_italo_disco,198,28
deep_jazz_fusion,105,70
deep_jazz_guitar,96,84
deep_jazz_piano,104,93
deep_latin_alternative,68,29
deep_liquid,112,22
deep_liquid_bass,62,5
deep_melodic_death_metal,149,89
deep_melodic_hard_rock,125,93
deep_melodic_house,76,19
deep_melodic_metalcore,86,58
deep_minimal_techno,108,32
deep_motown,145,76
deep_neo-synthpop,190,65
deep_neofolk,65,22
deep_new_wave,153,124
deep_nordic_folk,121,53
deep_northern_soul,197,70
deep_opera,134,96
deep_orchestral,90,40
deep_orgcore,120,55
deep_pop_emo,135,92
deep_pop_punk,71,39
deep_power-pop_punk,130,82
deep_progressive_house,23,1
deep_progressive_trance,157,87
deep_psychobilly,87,34
deep_psytrance,114,18
deep_punk_rock,174,110
deep_ragga,138,64
deep_rai,71,15
deep_regional_mexican,23,19
deep_smooth_jazz,110,74
deep_soft_rock,87,77
deep_soul_house,150,36
deep_soundtrack,130,77
deep_southern_soul,141,94
deep_space_rock,171,113
deep_string_quartet,50,28
deep_sunset_lounge,57,4
deep_surf_music,136,55
deep_symphonic_black_metal,161,129
deep_talent_show,80,62
deep_tech_house,98,7
deep_thrash_metal,138,85
deep_trap,112,64
deep_turkish_pop,180,80
deep_uplifting_trance,133,65
deep_vocal_house,99,65
deep_vocal_jazz,132,92
delta_blues,227,222
demoscene,100,22
denver_indie,76,36
depressive_black_metal,219,132
desert_blues,105,59
desi,164,111
destroy_techno,158,68
detroit_hip_hop,98,62
detroit_techno,229,196
didgeridoo,78,37
digital_hardcore,99,67
dirty_south_rap,245,241
dirty_texas_rap,96,76
disco,223,222
disco_house,199,170
discofox,117,28
dixieland,116,80
djent,180,134
dominican_pop,61,47
doo-wop,209,197
doom_metal,241,227
doomcore,126,30
doujin,147,37
downtempo,244,237
downtempo_fusion,112,81
downtempo_trip_hop,103,32
drama,22,14
dream_pop,223,221
dreamo,238,231
drill_and_bass,209,165
drone,294,286
drone_folk,96,75
drone_metal,214,186
drone_psych,152,62
drum_and_bass,219,182
drumfunk,196,96
dub,211,198
dub_techno,195,135
dubstep,212,119
dubstep_product,42,4
dubsteppe,67,21
duranguense,44,40
